PONTIANAK	B-LOC
KOMPAS.com	O
-	O
Polisi	O
menyita	O
800	B-QTY
batang	I-QTY
dan	O
50	B-QTY
kayu	I-QTY
olahan	I-QTY
jenis	I-QTY
rimba	I-QTY
di	O
Desa	B-LOC
Korek	I-LOC
Kecamatan	B-LOC
Sungai	I-LOC
Ambawang	I-LOC
Kabupaten	I-LOC
Kubu	I-LOC
Raya	I-LOC
Kalimantan	I-LOC
Barat.	I-LOC
	
Selain	O
menyita	O
kayu	O
yang	O
diduga	O
hasil	O
ilegal	O
logging	O
tersebut	O
polisi	O
juga	O
menangkap	O
seorang	O
terduga	O
pemilik	O
kayu	O
berinisial	O
A.	B-PER
Direktur	O
Polairud	O
Polda	B-ORG
Kalbar	I-ORG
Kombes	O
Benyamin	B-PER
Sapta	I-PER
mengatakan	O
pengungkapan	O
kasus	O
tersebut	O
bermula	O
Kamis	B-TIME
(16/1/2020)	I-TIME
saat	O
berlangsung	O
patroli	O
di	O
Sungai	B-LOC
Landak.	I-LOC